temp_ref,unique_study_unit,study_no,question_code,data_source_figure,temp_acclimated,bnf_species,in_assn_w_ps,evolved_amt,symb_free,evolved_symb,other_trt_variable,other_trt_categorical,other_trt_value,notes,response2,temp_K,invkT,invkT_units,temp_C,max_tempC,max_resp,topt_C,pass_topt,bnf_genus,bnf_order,bnf_class,bnf_o2_strategy,habitat1,system
breitbarth_biogeosciences_2007_breitbarth_biogeosciences_2007,1_3,1,mono-pop-tdep,Fig 1b,n,trichodesmium ims-101,y,m,free,free,na,na,na,3 populations (experimental units) are identical and simultaneous replicates,0.12,302.323,38.38446414842312,1/kT(K),29.173000000000002,33.923,0.128,26.96199999999999,yes,trichodesmium,oscillatoriales,cyanophyceae,spatial,a,na
breitbarth_biogeosciences_2007_breitbarth_biogeosciences_2007,1_3,1,mono-pop-tdep,Fig 1b,n,trichodesmium ims-101,y,m,free,free,na,na,na,3 populations (experimental units) are identical and simultaneous replicates,0.045,307.073,37.79070890226013,1/kT(K),33.923,33.923,0.128,26.96199999999999,yes,trichodesmium,oscillatoriales,cyanophyceae,spatial,a,na
burns 1969_na,2_1,2,cell-tdep,Fig 1,n,azotobacter vinelandii,n,NA,free,both,na,na,na,na,13.4205,288.04398546875706,40.28727187571294,1/kT(K),14.89398546875708,29.68703793881849,104.7665,29.68703793881849,no,azotobacter,pseudomonodales,gammaproteobacteria,non-photosynthetic,t,na
burns 1969_na,2_1,2,cell-tdep,Fig 1,n,azotobacter vinelandii,n,NA,free,both,na,na,na,na,27.8037,290.4880838883108,39.94830424509088,1/kT(K),17.338083888310848,29.68703793881849,104.7665,29.68703793881849,no,azotobacter,pseudomonodales,gammaproteobacteria,non-photosynthetic,t,na
burns 1969_na,2_1,2,cell-tdep,Fig 1,n,azotobacter vinelandii,n,NA,free,both,na,na,na,na,40.0118,293.091739766189,39.59342683625646,1/kT(K),19.941739766189016,29.68703793881849,104.7665,29.68703793881849,no,azotobacter,pseudomonodales,gammaproteobacteria,non-photosynthetic,t,na
burns 1969_na,2_1,2,cell-tdep,Fig 1,n,azotobacter vinelandii,n,NA,free,both,na,na,na,na,48.6939,295.88836487059467,39.219204715328694,1/kT(K),22.738364870594694,29.68703793881849,104.7665,29.68703793881849,no,azotobacter,pseudomonodales,gammaproteobacteria,non-photosynthetic,t,na
burns 1969_na,2_1,2,cell-tdep,Fig 1,n,azotobacter vinelandii,n,NA,free,both,na,na,na,na,79.3829,298.977973694722,38.81391733088926,1/kT(K),25.827973694722004,29.68703793881849,104.7665,29.68703793881849,no,azotobacter,pseudomonodales,gammaproteobacteria,non-photosynthetic,t,na
burns 1969_na,2_1,2,cell-tdep,Fig 1,n,azotobacter vinelandii,n,NA,free,both,na,na,na,na,104.7665,302.83703793881847,38.31931006103737,1/kT(K),29.68703793881849,29.68703793881849,104.7665,29.68703793881849,no,azotobacter,pseudomonodales,gammaproteobacteria,non-photosynthetic,t,na
ceuterick 1978_na,3_1,3,cell-tdep,Fig 3,n,azotobacter vinelandii,n,NA,free,both,na,na,na,na,8246.80777,312.59237163192796,37.12344704434383,1/kT(K),39.44237163192798,39.44237163192798,8246.80777,39.44237163192798,no,azotobacter,pseudomonodales,gammaproteobacteria,non-photosynthetic,t,na
ceuterick 1978_na,3_1,3,cell-tdep,Fig 3,n,azotobacter vinelandii,n,NA,free,both,na,na,na,na,6189.846424,306.99514552076135,37.800292688859265,1/kT(K),33.84514552076138,39.44237163192798,8246.80777,39.44237163192798,no,azotobacter,pseudomonodales,gammaproteobacteria,non-photosynthetic,t,na
ceuterick 1978_na,3_1,3,cell-tdep,Fig 3,n,azotobacter vinelandii,n,NA,free,both,na,na,na,na,4866.966655,301.49643134774124,38.489697217541085,1/kT(K),28.34643134774126,39.44237163192798,8246.80777,39.44237163192798,no,azotobacter,pseudomonodales,gammaproteobacteria,non-photosynthetic,t,na
ceuterick 1978_na,3_1,3,cell-tdep,Fig 3,n,azotobacter vinelandii,n,NA,free,both,na,na,na,na,3150.840022,297.18547797610444,39.048026282350165,1/kT(K),24.03547797610446,39.44237163192798,8246.80777,39.44237163192798,no,azotobacter,pseudomonodales,gammaproteobacteria,non-photosynthetic,t,na
ceuterick 1978_na,3_1,3,cell-tdep,Fig 3,n,azotobacter vinelandii,n,NA,free,both,na,na,na,na,1419.224749,293.5562531022933,39.5307755570105,1/kT(K),20.406253102293306,39.44237163192798,8246.80777,39.44237163192798,no,azotobacter,pseudomonodales,gammaproteobacteria,non-photosynthetic,t,na
ceuterick 1978_na,3_1,3,cell-tdep,Fig 3,n,azotobacter vinelandii,n,NA,free,both,na,na,na,na,323.3302867,289.26389779902445,40.11736840663861,1/kT(K),16.11389779902447,39.44237163192798,8246.80777,39.44237163192798,no,azotobacter,pseudomonodales,gammaproteobacteria,non-photosynthetic,t,na
ceuterick 1978_na,3_1,3,cell-tdep,Fig 3,n,azotobacter vinelandii,n,NA,free,both,na,na,na,na,93.11136239,285.9205167519727,40.58647657247443,1/kT(K),12.770516751972707,39.44237163192798,8246.80777,39.44237163192798,no,azotobacter,pseudomonodales,gammaproteobacteria,non-photosynthetic,t,na
ceuterick 1978_na,3_1,3,cell-tdep,Fig 3,n,azotobacter vinelandii,n,NA,free,both,na,na,na,na,24.90018586,282.99773330673224,41.00565124373617,1/kT(K),9.847733306732266,39.44237163192798,8246.80777,39.44237163192798,no,azotobacter,pseudomonodales,gammaproteobacteria,non-photosynthetic,t,na
chan 1991_chan_canadian journal of microbiology_1991,4_1,4,mono-pop-tdep,Fig 2,n,pseudomonas dc,n,t,free,symb,na,na,na,"this org is usually in symbiosis, but they removed it from that environment to test bnf temp response",4.1555,277.77777777777777,41.7762228770774,1/kT(K),4.627777777777794,29.56657857614232,139.4956,24.008275412232877,yes,pseudomonas,pseudomonodales,gammaproteobacteria,non-photosynthetic,t,isolated from grass rhizosphere
chan 1991_chan_canadian journal of microbiology_1991,4_1,4,mono-pop-tdep,Fig 2,n,pseudomonas dc,n,t,free,symb,na,na,na,"this org is usually in symbiosis, but they removed it from that environment to test bnf temp response",39.7587,302.7165785761423,38.334558382387506,1/kT(K),29.56657857614232,29.56657857614232,139.4956,24.008275412232877,yes,pseudomonas,pseudomonodales,gammaproteobacteria,non-photosynthetic,t,isolated from grass rhizosphere
chan 1991_chan_canadian journal of microbiology_1991,4_1,4,mono-pop-tdep,Fig 2,n,pseudomonas dc,n,t,free,symb,na,na,na,"this org is usually in symbiosis, but they removed it from that environment to test bnf temp response",24.6767,283.1056691910256,40.990017571543504,1/kT(K),9.955669191025606,29.56657857614232,139.4956,24.008275412232877,yes,pseudomonas,pseudomonodales,gammaproteobacteria,non-photosynthetic,t,isolated from grass rhizosphere
chan 1991_chan_canadian journal of microbiology_1991,4_1,4,mono-pop-tdep,Fig 2,n,pseudomonas dc,n,t,free,symb,na,na,na,"this org is usually in symbiosis, but they removed it from that environment to test bnf temp response",67.9092,287.9786204672165,40.29641622672049,1/kT(K),14.828620467216524,29.56657857614232,139.4956,24.008275412232877,yes,pseudomonas,pseudomonodales,gammaproteobacteria,non-photosynthetic,t,isolated from grass rhizosphere
chan 1991_chan_canadian journal of microbiology_1991,4_1,4,mono-pop-tdep,Fig 2,n,pseudomonas dc,n,t,free,symb,na,na,na,"this org is usually in symbiosis, but they removed it from that environment to test bnf temp response",75.7729,292.904677101884,39.61871305560345,1/kT(K),19.754677101884,29.56657857614232,139.4956,24.008275412232877,yes,pseudomonas,pseudomonodales,gammaproteobacteria,non-photosynthetic,t,isolated from grass rhizosphere
chan 1991_chan_canadian journal of microbiology_1991,4_1,4,mono-pop-tdep,Fig 2,n,pseudomonas dc,n,t,free,symb,na,na,na,"this org is usually in symbiosis, but they removed it from that environment to test bnf temp response",139.4956,297.15827541223285,39.051600830047114,1/kT(K),24.008275412232877,29.56657857614232,139.4956,24.008275412232877,yes,pseudomonas,pseudomonodales,gammaproteobacteria,non-photosynthetic,t,isolated from grass rhizosphere
coxson and kershaw 1983_coxson_na_1983,5_1,5,mono-pop-tdep,Fig 1,n,nostoc commune,y,t,free,free,light,na,200 ue,na,0.9261,280.15,41.42247494108057,1/kT(K),7,35,6.7793,35,no,nostoc,nostocales,cyanophyceae,spatial,t,stipa-bouteloa mixed-grass prairie
coxson and kershaw 1983_coxson_na_1983,5_1,5,mono-pop-tdep,Fig 1,n,nostoc commune,y,t,free,free,light,na,200 ue,na,2.191,287.15,40.41269843198232,1/kT(K),14,35,6.7793,35,no,nostoc,nostocales,cyanophyceae,spatial,t,stipa-bouteloa mixed-grass prairie
coxson and kershaw 1983_coxson_na_1983,5_1,5,mono-pop-tdep,Fig 1,n,nostoc commune,y,t,free,free,light,na,200 ue,na,4.0387,294.15,39.450981998108865,1/kT(K),21,35,6.7793,35,no,nostoc,nostocales,cyanophyceae,spatial,t,stipa-bouteloa mixed-grass prairie
coxson and kershaw 1983_coxson_na_1983,5_1,5,mono-pop-tdep,Fig 1,n,nostoc commune,y,t,free,free,light,na,200 ue,na,4.7331,301.15,38.53397428106832,1/kT(K),28,35,6.7793,35,no,nostoc,nostocales,cyanophyceae,spatial,t,stipa-bouteloa mixed-grass prairie
coxson and kershaw 1983_coxson_na_1983,5_1,5,mono-pop-tdep,Fig 1,n,nostoc commune,y,t,free,free,light,na,200 ue,na,6.7793,308.15,37.65862844310797,1/kT(K),35,35,6.7793,35,no,nostoc,nostocales,cyanophyceae,spatial,t,stipa-bouteloa mixed-grass prairie
coxson and kershaw 1983_coxson_na_1983,5_2,5,mono-pop-tdep,Fig 1,n,nostoc commune,y,t,free,free,light,na,200 ue,na,1.6964,280.15,41.42247494108057,1/kT(K),7,35,8.2009,35,no,nostoc,nostocales,cyanophyceae,spatial,t,stipa-bouteloa mixed-grass prairie
coxson and kershaw 1983_coxson_na_1983,5_2,5,mono-pop-tdep,Fig 1,n,nostoc commune,y,t,free,free,light,na,200 ue,na,2.8874,287.15,40.41269843198232,1/kT(K),14,35,8.2009,35,no,nostoc,nostocales,cyanophyceae,spatial,t,stipa-bouteloa mixed-grass prairie
coxson and kershaw 1983_coxson_na_1983,5_2,5,mono-pop-tdep,Fig 1,n,nostoc commune,y,t,free,free,light,na,200 ue,na,5.2416,294.15,39.450981998108865,1/kT(K),21,35,8.2009,35,no,nostoc,nostocales,cyanophyceae,spatial,t,stipa-bouteloa mixed-grass prairie
coxson and kershaw 1983_coxson_na_1983,5_2,5,mono-pop-tdep,Fig 1,n,nostoc commune,y,t,free,free,light,na,200 ue,na,6.1716,301.15,38.53397428106832,1/kT(K),28,35,8.2009,35,no,nostoc,nostocales,cyanophyceae,spatial,t,stipa-bouteloa mixed-grass prairie
coxson and kershaw 1983_coxson_na_1983,5_2,5,mono-pop-tdep,Fig 1,n,nostoc commune,y,t,free,free,light,na,200 ue,na,8.2009,308.15,37.65862844310797,1/kT(K),35,35,8.2009,35,no,nostoc,nostocales,cyanophyceae,spatial,t,stipa-bouteloa mixed-grass prairie
coxson and kershaw 1983_coxson_na_1983,5_3,5,mono-pop-tdep,Fig 1,n,nostoc commune,y,t,free,free,light,na,200 ue,na,0.4921,280.15,41.42247494108057,1/kT(K),7,35,9.061,35,no,nostoc,nostocales,cyanophyceae,spatial,t,stipa-bouteloa mixed-grass prairie
coxson and kershaw 1983_coxson_na_1983,5_3,5,mono-pop-tdep,Fig 1,n,nostoc commune,y,t,free,free,light,na,200 ue,na,1.9306,287.15,40.41269843198232,1/kT(K),14,35,9.061,35,no,nostoc,nostocales,cyanophyceae,spatial,t,stipa-bouteloa mixed-grass prairie
coxson and kershaw 1983_coxson_na_1983,5_3,5,mono-pop-tdep,Fig 1,n,nostoc commune,y,t,free,free,light,na,200 ue,na,4.8075,294.15,39.450981998108865,1/kT(K),21,35,9.061,35,no,nostoc,nostocales,cyanophyceae,spatial,t,stipa-bouteloa mixed-grass prairie
coxson and kershaw 1983_coxson_na_1983,5_3,5,mono-pop-tdep,Fig 1,n,nostoc commune,y,t,free,free,light,na,200 ue,na,6.0848,301.15,38.53397428106832,1/kT(K),28,35,9.061,35,no,nostoc,nostocales,cyanophyceae,spatial,t,stipa-bouteloa mixed-grass prairie
coxson and kershaw 1983_coxson_na_1983,5_3,5,mono-pop-tdep,Fig 1,n,nostoc commune,y,t,free,free,light,na,200 ue,na,9.061,308.15,37.65862844310797,1/kT(K),35,35,9.061,35,no,nostoc,nostocales,cyanophyceae,spatial,t,stipa-bouteloa mixed-grass prairie
coxson and kershaw 1983_coxson_na_1983,5_4,5,mono-pop-tdep,Fig 1,n,nostoc commune,y,t,free,free,light,na,200 ue,na,2.1964,280.15,41.42247494108057,1/kT(K),7,35,10.6786,35,no,nostoc,nostocales,cyanophyceae,spatial,t,stipa-bouteloa mixed-grass prairie
coxson and kershaw 1983_coxson_na_1983,5_4,5,mono-pop-tdep,Fig 1,n,nostoc commune,y,t,free,free,light,na,200 ue,na,5.1071,287.15,40.41269843198232,1/kT(K),14,35,10.6786,35,no,nostoc,nostocales,cyanophyceae,spatial,t,stipa-bouteloa mixed-grass prairie
coxson and kershaw 1983_coxson_na_1983,5_4,5,mono-pop-tdep,Fig 1,n,nostoc commune,y,t,free,free,light,na,200 ue,na,8.5714,294.15,39.450981998108865,1/kT(K),21,35,10.6786,35,no,nostoc,nostocales,cyanophyceae,spatial,t,stipa-bouteloa mixed-grass prairie
coxson and kershaw 1983_coxson_na_1983,5_4,5,mono-pop-tdep,Fig 1,n,nostoc commune,y,t,free,free,light,na,200 ue,na,10.0714,301.15,38.53397428106832,1/kT(K),28,35,10.6786,35,no,nostoc,nostocales,cyanophyceae,spatial,t,stipa-bouteloa mixed-grass prairie
coxson and kershaw 1983_coxson_na_1983,5_4,5,mono-pop-tdep,Fig 1,n,nostoc commune,y,t,free,free,light,na,200 ue,na,10.6786,308.15,37.65862844310797,1/kT(K),35,35,10.6786,35,no,nostoc,nostocales,cyanophyceae,spatial,t,stipa-bouteloa mixed-grass prairie
coxson and kershaw 1983_coxson_na_1983,5_5,5,mono-pop-tdep,Fig 1,n,nostoc commune,y,t,free,free,light,na,200 ue,na,0.5045,280.15,41.42247494108057,1/kT(K),7,35,8.8998,35,no,nostoc,nostocales,cyanophyceae,spatial,t,stipa-bouteloa mixed-grass prairie
coxson and kershaw 1983_coxson_na_1983,5_5,5,mono-pop-tdep,Fig 1,n,nostoc commune,y,t,free,free,light,na,200 ue,na,1.943,287.15,40.41269843198232,1/kT(K),14,35,8.8998,35,no,nostoc,nostocales,cyanophyceae,spatial,t,stipa-bouteloa mixed-grass prairie
coxson and kershaw 1983_coxson_na_1983,5_5,5,mono-pop-tdep,Fig 1,n,nostoc commune,y,t,free,free,light,na,200 ue,na,4.8323,294.15,39.450981998108865,1/kT(K),21,35,8.8998,35,no,nostoc,nostocales,cyanophyceae,spatial,t,stipa-bouteloa mixed-grass prairie
coxson and kershaw 1983_coxson_na_1983,5_5,5,mono-pop-tdep,Fig 1,n,nostoc commune,y,t,free,free,light,na,200 ue,na,6.122,301.15,38.53397428106832,1/kT(K),28,35,8.8998,35,no,nostoc,nostocales,cyanophyceae,spatial,t,stipa-bouteloa mixed-grass prairie
coxson and kershaw 1983_coxson_na_1983,5_5,5,mono-pop-tdep,Fig 1,n,nostoc commune,y,t,free,free,light,na,200 ue,na,8.8998,308.15,37.65862844310797,1/kT(K),35,35,8.8998,35,no,nostoc,nostocales,cyanophyceae,spatial,t,stipa-bouteloa mixed-grass prairie
fu_aquatic microbial ecology_2014_fu_aquatic microbial ecology_2014,8_1,8,mono-pop-tdep,Fig 3,y,trichodesmium ko4-20,y,m,free,free,light,light,na,na,6.804,291.114,39.86241250762149,1/kT(K),17.964,34.968999999999994,25.361,25.92500000000001,yes,trichodesmium,oscillatoriales,cyanophyceae,spatial,a,wild isolate from south pacific
fu_aquatic microbial ecology_2014_fu_aquatic microbial ecology_2014,8_1,8,mono-pop-tdep,Fig 3,y,trichodesmium ko4-20,y,m,free,free,light,light,na,na,14.742,293.08299999999997,39.594607516450026,1/kT(K),19.932999999999993,34.968999999999994,25.361,25.92500000000001,yes,trichodesmium,oscillatoriales,cyanophyceae,spatial,a,wild isolate from south pacific
fu_aquatic microbial ecology_2014_fu_aquatic microbial ecology_2014,8_1,8,mono-pop-tdep,Fig 3,y,trichodesmium ko4-20,y,m,free,free,light,light,na,na,23.299,297.077,39.06228470983523,1/kT(K),23.92700000000002,34.968999999999994,25.361,25.92500000000001,yes,trichodesmium,oscillatoriales,cyanophyceae,spatial,a,wild isolate from south pacific
fu_aquatic microbial ecology_2014_fu_aquatic microbial ecology_2014,8_1,8,mono-pop-tdep,Fig 3,y,trichodesmium ko4-20,y,m,free,free,light,light,na,na,25.361,299.075,38.801325268724305,1/kT(K),25.92500000000001,34.968999999999994,25.361,25.92500000000001,yes,trichodesmium,oscillatoriales,cyanophyceae,spatial,a,wild isolate from south pacific
fu_aquatic microbial ecology_2014_fu_aquatic microbial ecology_2014,8_1,8,mono-pop-tdep,Fig 3,y,trichodesmium ko4-20,y,m,free,free,light,light,na,na,24.639,301.07599999999996,38.54344535846007,1/kT(K),27.925999999999988,34.968999999999994,25.361,25.92500000000001,yes,trichodesmium,oscillatoriales,cyanophyceae,spatial,a,wild isolate from south pacific
fu_aquatic microbial ecology_2014_fu_aquatic microbial ecology_2014,8_1,8,mono-pop-tdep,Fig 3,y,trichodesmium ko4-20,y,m,free,free,light,light,na,na,0.103,289.09499999999997,40.140806152800025,1/kT(K),15.944999999999993,34.968999999999994,25.361,25.92500000000001,yes,trichodesmium,oscillatoriales,cyanophyceae,spatial,a,wild isolate from south pacific
fu_aquatic microbial ecology_2014_fu_aquatic microbial ecology_2014,8_1,8,mono-pop-tdep,Fig 3,y,trichodesmium ko4-20,y,m,free,free,light,light,na,na,18.351,303.104,38.28555992248114,1/kT(K),29.954000000000008,34.968999999999994,25.361,25.92500000000001,yes,trichodesmium,oscillatoriales,cyanophyceae,spatial,a,wild isolate from south pacific
fu_aquatic microbial ecology_2014_fu_aquatic microbial ecology_2014,8_1,8,mono-pop-tdep,Fig 3,y,trichodesmium ko4-20,y,m,free,free,light,light,na,na,10.206,305.111,38.0337200387522,1/kT(K),31.961000000000013,34.968999999999994,25.361,25.92500000000001,yes,trichodesmium,oscillatoriales,cyanophyceae,spatial,a,wild isolate from south pacific
fu_aquatic microbial ecology_2014_fu_aquatic microbial ecology_2014,8_2,8,mono-pop-tdep,Fig 3,y,trichodesmium rli,y,m,free,free,light,light,na,na,0.103,289.09499999999997,40.140806152800025,1/kT(K),15.944999999999993,34.968999999999994,23.093,25.951000000000022,yes,trichodesmium,oscillatoriales,cyanophyceae,spatial,a,wild isolate from gbreef
fu_aquatic microbial ecology_2014_fu_aquatic microbial ecology_2014,8_2,8,mono-pop-tdep,Fig 3,y,trichodesmium rli,y,m,free,free,light,light,na,na,10.103,291.087,39.86610997654901,1/kT(K),17.937000000000012,34.968999999999994,23.093,25.951000000000022,yes,trichodesmium,oscillatoriales,cyanophyceae,spatial,a,wild isolate from gbreef
fu_aquatic microbial ecology_2014_fu_aquatic microbial ecology_2014,8_2,8,mono-pop-tdep,Fig 3,y,trichodesmium rli,y,m,free,free,light,light,na,na,14.124,293.084,39.59447242000151,1/kT(K),19.934000000000026,34.968999999999994,23.093,25.951000000000022,yes,trichodesmium,oscillatoriales,cyanophyceae,spatial,a,wild isolate from gbreef
fu_aquatic microbial ecology_2014_fu_aquatic microbial ecology_2014,8_2,8,mono-pop-tdep,Fig 3,y,trichodesmium rli,y,m,free,free,light,light,na,na,20.309,297.10299999999995,39.05886630139623,1/kT(K),23.952999999999975,34.968999999999994,23.093,25.951000000000022,yes,trichodesmium,oscillatoriales,cyanophyceae,spatial,a,wild isolate from gbreef
fu_aquatic microbial ecology_2014_fu_aquatic microbial ecology_2014,8_2,8,mono-pop-tdep,Fig 3,y,trichodesmium rli,y,m,free,free,light,light,na,na,23.093,299.101,38.797952379777136,1/kT(K),25.951000000000022,34.968999999999994,23.093,25.951000000000022,yes,trichodesmium,oscillatoriales,cyanophyceae,spatial,a,wild isolate from gbreef
fu_aquatic microbial ecology_2014_fu_aquatic microbial ecology_2014,8_2,8,mono-pop-tdep,Fig 3,y,trichodesmium rli,y,m,free,free,light,light,na,na,20.309,301.10299999999995,38.53998915568335,1/kT(K),27.952999999999975,34.968999999999994,23.093,25.951000000000022,yes,trichodesmium,oscillatoriales,cyanophyceae,spatial,a,wild isolate from gbreef
fu_aquatic microbial ecology_2014_fu_aquatic microbial ecology_2014,8_2,8,mono-pop-tdep,Fig 3,y,trichodesmium rli,y,m,free,free,light,light,na,na,16.804,303.082,38.28833898002429,1/kT(K),29.932000000000016,34.968999999999994,23.093,25.951000000000022,yes,trichodesmium,oscillatoriales,cyanophyceae,spatial,a,wild isolate from gbreef
fu_aquatic microbial ecology_2014_fu_aquatic microbial ecology_2014,8_2,8,mono-pop-tdep,Fig 3,y,trichodesmium rli,y,m,free,free,light,light,na,na,13.711,305.084,38.03708603120361,1/kT(K),31.934000000000026,34.968999999999994,23.093,25.951000000000022,yes,trichodesmium,oscillatoriales,cyanophyceae,spatial,a,wild isolate from gbreef
fu_aquatic microbial ecology_2014_fu_aquatic microbial ecology_2014,8_3,8,mono-pop-tdep,Fig 3,y,trichodesmium 21-75,y,m,free,free,light,light,na,na,5.361,291.11499999999995,39.862275577499354,1/kT(K),17.964999999999975,34.968999999999994,20.412,25.976999999999975,yes,trichodesmium,oscillatoriales,cyanophyceae,spatial,a,wild isolate from western equatorial atlantic
fu_aquatic microbial ecology_2014_fu_aquatic microbial ecology_2014,8_3,8,mono-pop-tdep,Fig 3,y,trichodesmium 21-75,y,m,free,free,light,light,na,na,12.371,293.133,39.58785382315783,1/kT(K),19.983000000000004,34.968999999999994,20.412,25.976999999999975,yes,trichodesmium,oscillatoriales,cyanophyceae,spatial,a,wild isolate from western equatorial atlantic
fu_aquatic microbial ecology_2014_fu_aquatic microbial ecology_2014,8_3,8,mono-pop-tdep,Fig 3,y,trichodesmium 21-75,y,m,free,free,light,light,na,na,20.103,297.12699999999995,39.055711378446674,1/kT(K),23.976999999999975,34.968999999999994,20.412,25.976999999999975,yes,trichodesmium,oscillatoriales,cyanophyceae,spatial,a,wild isolate from western equatorial atlantic
fu_aquatic microbial ecology_2014_fu_aquatic microbial ecology_2014,8_3,8,mono-pop-tdep,Fig 3,y,trichodesmium 21-75,y,m,free,free,light,light,na,na,20.412,299.12699999999995,38.79458007717031,1/kT(K),25.976999999999975,34.968999999999994,20.412,25.976999999999975,yes,trichodesmium,oscillatoriales,cyanophyceae,spatial,a,wild isolate from western equatorial atlantic
fu_aquatic microbial ecology_2014_fu_aquatic microbial ecology_2014,8_3,8,mono-pop-tdep,Fig 3,y,trichodesmium 21-75,y,m,free,free,light,light,na,na,19.072,301.128,38.53678952054848,1/kT(K),27.97800000000001,34.968999999999994,20.412,25.976999999999975,yes,trichodesmium,oscillatoriales,cyanophyceae,spatial,a,wild isolate from western equatorial atlantic
fu_aquatic microbial ecology_2014_fu_aquatic microbial ecology_2014,8_3,8,mono-pop-tdep,Fig 3,y,trichodesmium 21-75,y,m,free,free,light,light,na,na,17.01,303.10499999999996,38.28543361126911,1/kT(K),29.954999999999984,34.968999999999994,20.412,25.976999999999975,yes,trichodesmium,oscillatoriales,cyanophyceae,spatial,a,wild isolate from western equatorial atlantic
